train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.7727599402088849,0.04356069809141499,0.3499822147264748,0.038116555430530635
0.1,0.9,0.7388924020028556,0.01685181575649361,0.46734901343419943,0.021262379763448407
0.15,0.85,0.6886660401870027,0.02964671322031694,0.5505749653015735,0.01139953644412444
0.2,0.8,0.6999076460887581,0.02115046156271311,0.5568654606021348,0.03468349283255939
0.25,0.75,0.6567999436158891,0.025705207670774374,0.5855482878363849,0.03367850882508377
0.3,0.7,0.6577274054140612,0.03734849180675298,0.5630326858441165,0.0403106908680186
0.35,0.65,0.6447934000583041,0.05233302027246456,0.5714477424889721,0.03582530681241976
0.4,0.6,0.6441730939862584,0.016682808512123424,0.5776267948494878,0.04083322595041521
0.45,0.55,0.639983290000776,0.012725870530047303,0.6013429271894039,0.032517125206188144
0.5,0.5,0.6405698825919148,0.013195901955840151,0.6062004336296735,0.014666282532941086
0.55,0.44999999999999996,0.6482098200780817,0.02464089792756532,0.5800480312551742,0.06105768246431221
0.6,0.4,0.6306639456726794,0.014429576809274295,0.6034633313262976,0.03037990166119969
0.65,0.35,0.6197438401552773,0.008206976141569565,0.6209398027700347,0.019292728820782108
0.7,0.30000000000000004,0.6268666152800518,0.007234702190247616,0.6151326101617378,0.03596343254219434
0.75,0.25,0.6351414064349983,0.009496284430263676,0.5740635525880413,0.06270672736703858
0.8,0.19999999999999996,0.6302827195106089,0.010781359629044819,0.6067695740540107,0.03042589034668118
0.85,0.15000000000000002,0.6281298101965207,0.0045623620593788095,0.6488249712979013,0.044181882916745706
0.9,0.09999999999999998,0.6260198249391556,0.0033752680561773803,0.6686714395933102,0.06298690352647257
0.95,0.050000000000000044,0.631894789005589,0.004713650535349557,0.5051812606303435,0.09378015929073948
