train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.3162715085352995,0.023535727540069083,0.20483187540206133,0.032792181434862976
0.1,0.9,0.330986801902172,0.02656481682059956,0.25438493913971094,0.028799466766091342
0.15,0.85,0.3767179221356122,0.015969998338379345,0.303786726447332,0.012322643843535184
0.2,0.8,0.39290504065791526,0.04241268765444912,0.3283368896427851,0.03603679474556907
0.25,0.75,0.47278492116878246,0.01849289875390493,0.38161224873202787,0.03516338708559812
0.3,0.7,0.45342222247473474,0.02513202463827135,0.3964240330957172,0.012674964524807078
0.35,0.65,0.4457317432717451,0.024725808860856173,0.39676382108779445,0.023727670003861796
0.4,0.6,0.4892689393709958,0.033259829663290545,0.43305526924430293,0.04085088377172575
0.45,0.55,0.483403478790917,0.029883981210348232,0.41530327014037666,0.05180285802796181
0.5,0.5,0.4987428972612816,0.03568981781779403,0.4161613852028191,0.030718612564695887
0.55,0.44999999999999996,0.4829579388038934,0.008547090529342133,0.38974285021731725,0.029861542613217263
0.6,0.4,0.48878945303755306,0.00910680881780473,0.4179517204198864,0.016378427229850296
0.65,0.35,0.4622628103841544,0.018069204601235164,0.41223207799489725,0.02524488034145359
0.7,0.30000000000000004,0.4746246970339044,0.01620629826456269,0.42199119379446853,0.017726010911063794
0.75,0.25,0.49241855807604995,0.03804487665698934,0.4416035324666555,0.06506179430404874
0.8,0.19999999999999996,0.5142452327151719,0.049029498672371115,0.4428920030936748,0.04312344868587231
0.85,0.15000000000000002,0.5104922112462369,0.03958256238865412,0.44235973450773514,0.05231548947713595
0.9,0.09999999999999998,0.5024658897246325,0.04072169961927766,0.49317834277787603,0.0486842508199422
0.95,0.050000000000000044,0.5139655663085552,0.03359476723656244,0.4771315789215852,0.12225673778436047
