train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.7738325281803543,0.024033212958785934,0.25572144354226356,0.04310250765089627
0.1,0.9,0.6469965453319851,0.05952757179188934,0.3632308478768144,0.08977209652189688
0.15,0.85,0.5668243033406076,0.07268332584944448,0.35055294224244615,0.06379478325461274
0.2,0.8,0.5633361887222027,0.062171170989187535,0.34984393421092647,0.03021194600222338
0.25,0.75,0.5299887078517812,0.07071376999629161,0.32654087709830104,0.07867487378791761
0.3,0.7,0.5458139475469665,0.02378131440747842,0.4173900509936729,0.04532215750312692
0.35,0.65,0.5002869829555072,0.040703266352277154,0.3937060935313698,0.053850077742168476
0.4,0.6,0.5064064126507735,0.010813184627613966,0.4147550075463381,0.04851572200788139
0.45,0.55,0.48183803058689423,0.03434358707214806,0.33698514870390606,0.055102645898718855
0.5,0.5,0.45411019485678616,0.02129937519388175,0.31277163610219705,0.006927722275602984
0.55,0.44999999999999996,0.4439277151285104,0.035523271435002855,0.40646336562043545,0.0395895184879238
0.6,0.4,0.4566706789188629,0.03600779955008897,0.43326674946276283,0.0271849361071165
0.65,0.35,0.424060436576189,0.020569105614981133,0.3826364333039159,0.061894147281624554
0.7,0.30000000000000004,0.42627083898515694,0.025024813540345903,0.39939411537630676,0.058420692706357955
0.75,0.25,0.4162024050106387,0.013456589800440991,0.3939275199300083,0.019152821915323654
0.8,0.19999999999999996,0.412339030182287,0.011335498009545525,0.3898636325748104,0.026514703921023165
0.85,0.15000000000000002,0.42610296411302795,0.020729310521846477,0.38838819176319167,0.010920372027641671
0.9,0.09999999999999998,0.42557205944266635,0.017234649276313806,0.4091593023255814,0.021022272449618223
0.95,0.050000000000000044,0.4146630138738329,0.0010667432691610912,0.27030961791831354,0.01950738061520293
