train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.7105068867911679,0.052765519947076414,0.22920781833909407,0.04895743862738872
0.1,0.9,0.5915908190531389,0.0499326531479647,0.3197621830492962,0.07602754170557494
0.15,0.85,0.47753123543543213,0.05019084879113105,0.2935362162449359,0.043257098202139806
0.2,0.8,0.4714871089608315,0.08621770853231693,0.2884632988777978,0.041443845300088246
0.25,0.75,0.40906123160410857,0.09173295533497527,0.2399517099442178,0.07309118711484365
0.3,0.7,0.4480831805411519,0.041237482158646595,0.3417875512672643,0.06118340154816768
0.35,0.65,0.4091368941240252,0.04175999762153228,0.311410178680112,0.04785340064166351
0.4,0.6,0.3686185757642909,0.02448825738655473,0.29830986972110385,0.05157830577494563
0.45,0.55,0.3630558791856662,0.0549215480649332,0.24632422228298534,0.053367952953199294
0.5,0.5,0.33172491324219183,0.019044226770349112,0.2243159086231296,0.012223863114254266
0.55,0.44999999999999996,0.3145667741788737,0.03127426011648109,0.2860377432421737,0.019189964450805078
0.6,0.4,0.3099585262895069,0.03842485566631661,0.30612091363934174,0.030606391868900486
0.65,0.35,0.28445916831351603,0.019885707666111127,0.25836597532241873,0.044493048286815634
0.7,0.30000000000000004,0.28478318081726905,0.0293527064910952,0.28302303978056564,0.04367057794604386
0.75,0.25,0.2762926152356475,0.017102348021107248,0.28487564150965466,0.021725074431287208
0.8,0.19999999999999996,0.26793043593204313,0.020717578803757592,0.2506344227464112,0.026495201845209447
0.85,0.15000000000000002,0.27816649501520896,0.03241274987530494,0.26474422340759574,0.008935475232542303
0.9,0.09999999999999998,0.2865265209986593,0.03363151172117176,0.29753929945149454,0.01953206733569389
0.95,0.050000000000000044,0.2686768156346181,0.0038674183132610183,0.1505599504163977,0.031253659764334064
