train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,1.0,0.0,0.42332629718681936,0.03839903352977905
0.1,0.9,1.0,0.0,0.5549676953702406,0.02078242198388937
0.15,0.85,1.0,0.0,0.5761667539903492,0.04442376122147617
0.2,0.8,1.0,0.0,0.5906535766596555,0.0158347434391878
0.25,0.75,1.0,0.0,0.5719946751806096,0.044042880157589136
0.3,0.7,1.0,0.0,0.578746650096951,0.02857969950500941
0.35,0.65,1.0,0.0,0.589378333561636,0.02186773731965285
0.4,0.6,1.0,0.0,0.5978491723512581,0.021246857383551202
0.45,0.55,1.0,0.0,0.5910924089803382,0.015615114950490993
0.5,0.5,1.0,0.0,0.5834948196913103,0.01276057352594418
0.55,0.44999999999999996,1.0,0.0,0.6041472115175079,0.018073723571901394
0.6,0.4,1.0,0.0,0.6136249483395326,0.015365568441069833
0.65,0.35,1.0,0.0,0.6113087355950259,0.03987121782856978
0.7,0.30000000000000004,1.0,0.0,0.6098368614315721,0.023524741132476275
0.75,0.25,1.0,0.0,0.5992644651982361,0.03744615775255367
0.8,0.19999999999999996,1.0,0.0,0.600858335823574,0.02767286403525546
0.85,0.15000000000000002,1.0,0.0,0.6392269058358615,0.015331073090930711
0.9,0.09999999999999998,1.0,0.0,0.6824556720733712,0.053157817918191734
0.95,0.050000000000000044,1.0,0.0,0.46361159123627155,0.10136629415418479
