train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,1.0,0.0,0.2579541526930283,0.029299066242857615
0.1,0.9,1.0,0.0,0.4698017941625907,0.011255879307308807
0.15,0.85,1.0,0.0,0.46827658402457406,0.041115052535674323
0.2,0.8,1.0,0.0,0.5140024515400992,0.015786459638281073
0.25,0.75,1.0,0.0,0.4954940998384368,0.0301250797964629
0.3,0.7,1.0,0.0,0.5381007952732696,0.014514218383216385
0.35,0.65,1.0,0.0,0.5477224575031879,0.02258675019491293
0.4,0.6,1.0,0.0,0.5488929051253415,0.016632708439295422
0.45,0.55,1.0,0.0,0.5475137821532574,0.013653147271263563
0.5,0.5,1.0,0.0,0.5503207327057751,0.02355194458848307
0.55,0.44999999999999996,1.0,0.0,0.5796228283031695,0.015112964518796132
0.6,0.4,1.0,0.0,0.5881409227052723,0.002640128449670291
0.65,0.35,1.0,0.0,0.5795547193373186,0.028917031092103408
0.7,0.30000000000000004,1.0,0.0,0.5813105977555539,0.022293257150119306
0.75,0.25,1.0,0.0,0.5812452990213967,0.024715943901441054
0.8,0.19999999999999996,1.0,0.0,0.5805042688218245,0.028782627103550815
0.85,0.15000000000000002,1.0,0.0,0.6033825407852105,0.02713124912198761
0.9,0.09999999999999998,1.0,0.0,0.6452924644787192,0.04449754485073128
0.95,0.050000000000000044,1.0,0.0,0.4585465720005833,0.08474973934738572
