train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.6849013661235883,0.11374577382674053,0.3178818416734611,0.042396946978973525
0.1,0.9,0.7676246622520045,0.054658007150062374,0.45924700331271834,0.04571028625810852
0.15,0.85,0.7734951991678686,0.07644491474636242,0.4926416409175333,0.02448575067837706
0.2,0.8,0.8274711975914698,0.08372697825772335,0.512036439355929,0.024694059261832057
0.25,0.75,0.794523697537589,0.03889259962174538,0.5020030034074244,0.02194315874327924
0.3,0.7,0.8724581529748241,0.04980628940104622,0.5518172895244203,0.05693670260004082
0.35,0.65,0.8980339415363797,0.03857223690407783,0.5797980134552916,0.0775335319587834
0.4,0.6,0.8866476188436636,0.03397486715868574,0.5325275194774648,0.019897418499534424
0.45,0.55,0.8906027183746751,0.0374253858802653,0.5621033651103958,0.05492622925043381
0.5,0.5,0.8626128946228923,0.04843002049087812,0.508664455992206,0.01363542450058373
0.55,0.44999999999999996,0.9098208321905533,0.015562818895352036,0.5637352828258189,0.08138902828991203
0.6,0.4,0.9016080819838846,0.007935872074069138,0.5910616416154987,0.048709017125480265
0.65,0.35,0.9075846246029222,0.007549669270154821,0.6120713646665987,0.050120141455873
0.7,0.30000000000000004,0.9030315183425224,0.007779867110592665,0.6360354849379406,0.051595308531338514
0.75,0.25,0.9001774740076746,0.006818668447537397,0.6120347838157293,0.059375110258735625
0.8,0.19999999999999996,0.9068353805830285,0.007819822815188492,0.6024453124150101,0.05277021457475584
0.85,0.15000000000000002,0.8998861227489442,0.009653448864568917,0.6540089496830105,0.006490805433046208
0.9,0.09999999999999998,0.9033927777107136,0.008858332217766926,0.6680506315741507,0.0753696131061539
0.95,0.050000000000000044,0.8997761813594689,0.004560463818571237,0.5252938235209477,0.08505212590752353
