train_frac,test_frac,train_mean,train_std,test_mean,test_std
0.05,0.95,0.6507246376811595,0.08354896956965778,0.26121485763834673,0.017622364185698486
0.1,0.9,0.7202520222446915,0.04466054143884197,0.3787852755573076,0.02722804150372007
0.15,0.85,0.7083094713502323,0.04506190848056804,0.39956643189561103,0.012392973130240894
0.2,0.8,0.7400725440159213,0.04429984201494396,0.43334201487564233,0.020365288519186325
0.25,0.75,0.728741092265529,0.049093672815931313,0.4405186098585772,0.017462324471781636
0.3,0.7,0.778763680796026,0.012843689214489907,0.46719608998601636,0.02602424681083086
0.35,0.65,0.7827897787645983,0.022571424209494213,0.48808550965660025,0.021611619508160297
0.4,0.6,0.7530544535281378,0.02991746778612616,0.46199783116211374,0.008953215597354292
0.45,0.55,0.7783435576192675,0.019145240849810514,0.47679508818444677,0.016536197083110805
0.5,0.5,0.7562335277517163,0.035286874549902605,0.4670926434380186,0.015772109712416146
0.55,0.44999999999999996,0.7801559415007671,0.020903596298569815,0.49213320964939394,0.0409254063798953
0.6,0.4,0.7530689469849142,0.01890224614809697,0.5149980310711207,0.039948382898784295
0.65,0.35,0.7727429146201018,0.017833115520070324,0.5415754347108082,0.03481537508391076
0.7,0.30000000000000004,0.7463165865679732,0.019800793563597992,0.5639711510873345,0.03748734137037196
0.75,0.25,0.7471768680069057,0.0166637070611927,0.5715888033610966,0.06241787453396268
0.8,0.19999999999999996,0.757245147574166,0.012040811620855236,0.5668486858109084,0.042574614663237774
0.85,0.15000000000000002,0.7483822976515005,0.007582126682351141,0.5912594111969112,0.028890306682717828
0.9,0.09999999999999998,0.7478101151173961,0.013669252896355502,0.6154578867542974,0.07737241941340499
0.95,0.050000000000000044,0.7535650263220809,0.011340882123463729,0.5167252232469624,0.060171325027955205
